State,Year,Open carry index,Concealed carry index,"Assault weapons ban? (1=yes, 0.5=locally, 0=no)","""Saturday Night Special"" ban? (1=yes, 0=no)","Large capacity ammunition magazines ban? (1=yes, 0.5=locally, 0=no)","50 caliber rifles banned or regulated? (1=banned, 0.5=regulated, 0=no)",Local gun ban in place?,"Waiting period on firearms purchases? (1=all firearms, 0.5=some firearms, 0=no)","Restrictions on multiple purchases or sales of firearms? (1=yes, 0.5=locally, 0=no)","Background checks required at private sales or gun shows? (1=yes, 0.5=locally, 0=no)",Hide
State,Year,Boci,Bcci,Basslt,bsat,Bmags,Brifle,Bgunban,Bwait,Bmult,Bpriv,Yes
North Dakota,2000,4.5,7.2,0,0,0,0,0,0,0,0,
Ohio,2000,4.05,0,0,0,0,0,0,0,0,0,
Oklahoma,2000,0.45,6.48,0,0,0,0,0,0,0,0,
Oregon,2000,9.5,8,0,0,0,0,0,0,0,0,
Pennsylvania,2000,6.4125,7.2,0,0,0,0,0,0,0,1,
Rhode Island,2000,0.9,1.8,0,0,0,0,0,1,0,1,
South Carolina,2000,0,6.48,0,1,0,0,0,0,1,0,
South Dakota,2000,8.775,6.48,0,0,0,0,0,0.5,0,0,
Tennessee,2000,8.55,6.48,0,0,0,0,0,0,0,0,
Texas,2000,0.9,7.2,0,0,0,0,0,0,0,0,
Utah,2000,4.05,7.2,0,0,0,0,0,0,0,0,
Vermont,2000,9,8.1,0,0,0,0,0,0,0,0,
Virginia,2000,6.58125,6.48,0,0,0,0,0,0,1,0,
Washington,2000,8.55,7.2,0,0,0,0,0,0,0,0,
West Virginia,2000,6.58125,6.48,0,0,0,0,0,0,0,0,
Wisconsin,2000,8.1,0,0,0,0,0,0,0.5,0,0,
Wyoming,2000,8.775,6.48,0,0,0,0,0,0,0,0,
Alabama,2006,8.55,1.62,0,0,0,0,0,0,0,0,
Alaska,2006,9,9,0,0,0,0,0,0,0,0,
Arizona,2006,8.775,7.2,0,0,0,0,0,0,0,0,
Arkansas,2006,0.45,6.48,0,0,0,0,0,0,0,0,
California,2006,0.225,0.81,1,1,1,1,0,1,1,1,
Colorado,2006,7.5,7.2,0,0,0,0,0,0,0,1,
Connecticut,2006,2.025,3.375,1,0,0,0.5,0,0.5,0,1,
Delaware,2006,8.775,1.62,0,0,0,0,0,0,0,0,
Florida,2006,0.45,7.2,0,0,0,0,0,0.5,0,0,
Georgia,2006,4.725,6.48,0,0,0,0,0,0,0,0,
Hawaii,2006,0.405,0,1,1,1,0,0,1,0,1,
Idaho,2006,8.775,7.2,0,0,0,0,0,0,0,0,
Illinois,2006,0,0,0.5,1,0.5,0,1,1,0,1,
Indiana,2006,4.5,7.2,0,0,0,0,0,0,0,0,
Iowa,2006,0.9,1.8,0,0,0,0,0,0.5,0,1,
Kansas,2006,6.58125,4.86,0,0,0,0,0,0,0,0,
Kentucky,2006,8.775,6.48,0,0,0,0,0,0,0,0,
Louisiana,2006,9,6.48,0,0,0,0,0,0,0,0,
Maine,2006,8.55,7.2,0,0,0,0,0,0,0,0,
Maryland,2006,0.81,1.8,1,1,1,0.5,0,0.5,1,1,
Massachusetts,2006,0.45,0.9,1,1,1,0,0,0,0,1,
Michigan,2006,8.55,6.48,0,0,0,0,0,0,0,1,
Minnesota,2006,4.5,7.2,0,1,0,0,0,0.5,0,0,
Mississippi,2006,9,6.48,0,0,0,0,0,0,0,0,
Missouri,2006,4.5,6.48,0,0,0,0,0,0,0,0,
Montana,2006,9,6.48,0,0,0,0,0,0,0,0,
Nebraska,2006,6.58125,4.86,0,0,0,0,0,0,0,1,
Nevada,2006,9,7.2,0,0,0,0,0,0,0,0,
New Hampshire,2006,9.5,8,0,0,0,0,0,0,0,0,
New Jersey,2006,0.45,0.9,1,0,1,0,0,0.5,0,1,
New Mexico,2006,9,6.48,0,0,0,0,0,0,0,0,
New York,2006,0.675,1.215,1,1,1,0,0,0,0.5,1,
North Carolina,2006,8.775,6.48,0,0,0,0,0,0,0,1,
North Dakota,2006,4.5,7.2,0,0,0,0,0,0,0,0,
Ohio,2006,8.325,6.48,0,0,0,0,0,0,0,0,
Oklahoma,2006,0.45,6.48,0,0,0,0,0,0,0,0,
Oregon,2006,9.5,8,0,0,0,0,0,0,0,1,
Pennsylvania,2006,6.4125,7.2,0,0,0,0,0,0,0,1,
Rhode Island,2006,0.9,1.8,0,0,0,0,0,1,0,1,
South Carolina,2006,0,6.48,0,1,0,0,0,0,0,0,
South Dakota,2006,8.775,6.48,0,0,0,0,0,0.5,0,0,
Tennessee,2006,8.55,7.2,0,0,0,0,0,0,0,0,
Texas,2006,0.9,7.2,0,0,0,0,0,0,0,0,
Utah,2006,4.5,7.2,0,0,0,0,0,0,0,0,
Vermont,2006,9,9,0,0,0,0,0,0,0,0,
Virginia,2006,8.775,7.2,0,0,0,0,0,0,1,0,
Washington,2006,8.55,7.2,0,0,0,0,0,0,0,0,
West Virginia,2006,6.58125,6.48,0,0,0,0,0,0,0,0,
Wisconsin,2006,8.1,0,0,0,0,0,0,0.5,0,0,
Wyoming,2006,8.775,6.48,0,0,0,0,0,0,0,0,
Alabama,2008,8.55,1.62,0,0,0,0,0,0,0,0,
Alaska,2008,9,9,0,0,0,0,0,0,0,0,
Arizona,2008,8.775,7.2,0,0,0,0,0,0,0,0,
Arkansas,2008,0.45,6.48,0,0,0,0,0,0,0,0,
California,2008,0.225,0.81,1,1,1,1,0,1,1,1,
Colorado,2008,7.5,7.2,0.5,0,0.5,0,0,0,0,1,
Connecticut,2008,1.35,2.25,1,0,0,0.5,0,0.5,0,1,
Delaware,2008,8.775,1.62,0,0,0,0,0,0,0,0,
Florida,2008,0.45,7.2,0,0,0,0,0,0.5,0,0,
Georgia,2008,4.725,6.48,0,0,0,0,0,0,0,0,
Hawaii,2008,0.405,0,1,1,1,0,0,1,0,1,
Idaho,2008,9.75,8,0,0,0,0,0,0,0,0,
Illinois,2008,0,0,0.5,1,0.5,0,1,1,0,1,
Indiana,2008,4.5,7.2,0,0,0,0,0,0,0,0,
Iowa,2008,0.9,1.8,0,0,0,0,0,0.5,0,1,
Kansas,2008,6.58125,6.48,0,0,0,0,0,0,0,0,
Kentucky,2008,8.775,6.48,0,0,0,0,0,0,0,0,
